feature,category,xgboost_importance_mean,xgboost_importance_std,rank_xgboost_importance,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant
mean_MFCC_8th_coef,MFCC,0.0018751698,0.0027142682,174.0,0.8057762858796013,252,0,False,False
mean_delta_delta_log_energy,Delta / Delta-delta,0.0018647216,0.0041696443,175.0,0.00029097370415902447,252,0,False,False
tqwt_TKEO_std_dec_21,TQWT,0.0018643774,0.0041688746,176.0,0.05441643078724491,252,0,False,False
tqwt_maxValue_dec_14,TQWT,0.0018488144,0.004134075,177.0,0.20511170843624107,252,0,False,False
tqwt_meanValue_dec_15,TQWT,0.0018153789,0.00356541,178.0,4.1322424412978595e-19,252,0,False,True
tqwt_meanValue_dec_36,TQWT,0.0017702898,0.0036715108,179.0,0.007196318312881078,252,0,False,False
det_LT_entropy_shannon_3_coef,Wavelet,0.0017529214,0.0039196513,180.0,0.7992280993454524,252,0,False,False
tqwt_entropy_shannon_dec_4,TQWT,0.0017408986,0.0038927675,181.0,28.73416550679212,252,0,False,False
tqwt_kurtosisValue_dec_1,TQWT,0.0017292447,0.0023756663,182.0,2933.0932231279908,252,0,False,False
IMF_NSR_TKEO,Other,0.0017048704,0.003812206,183.0,8.069920087947933,252,0,False,False
tqwt_skewnessValue_dec_30,TQWT,0.0016862315,0.0027193532,184.0,0.19366792697456126,252,0,False,False
tqwt_skewnessValue_dec_13,TQWT,0.0016726486,0.002800177,185.0,0.007929870269305651,252,0,False,False
tqwt_skewnessValue_dec_34,TQWT,0.001655098,0.003700912,186.0,0.8505171788136131,252,0,False,False
tqwt_energy_dec_1,TQWT,0.0016478365,0.002259531,187.0,0.0027700650137281713,247,0,False,False
tqwt_energy_dec_4,TQWT,0.0016312316,0.002504464,188.0,0.0036736089844870926,250,0,False,False
tqwt_maxValue_dec_17,TQWT,0.0016220834,0.0036270886,189.0,0.3437798151124321,252,0,False,False
tqwt_meanValue_dec_19,TQWT,0.0016126039,0.0036058922,190.0,9.57762728915303e-19,251,0,False,True
tqwt_meanValue_dec_2,TQWT,0.001596255,0.0022966324,191.0,3.3302428670843045e-21,251,0,False,True
app_det_TKEO_mean_4_coef,Other,0.0015578602,0.0034834812,192.0,24624.79085644874,252,0,False,False
tqwt_maxValue_dec_20,TQWT,0.0015295646,0.0034202107,193.0,0.25725412502853673,252,0,False,False
tqwt_TKEO_std_dec_20,TQWT,0.0014869127,0.0020360586,194.0,0.07281173724697083,252,0,False,False
tqwt_stdValue_dec_33,TQWT,0.0014783887,0.0033057777,195.0,0.05442805797147073,252,0,False,False
tqwt_energy_dec_16,TQWT,0.0014636623,0.002090848,196.0,0.07000065783950658,252,0,False,False
tqwt_entropy_log_dec_28,TQWT,0.0014538938,0.0032510054,197.0,2951.1453926890817,252,0,False,False
tqwt_maxValue_dec_1,TQWT,0.0014503242,0.0021702955,198.0,0.02605954851684779,252,0,False,False
app_entropy_shannon_4_coef,Wavelet,0.0014495894,0.00198508,199.0,113794989.6304096,252,0,False,False
numPeriodsPulses,Other,0.0014464448,0.0032343487,200.0,93.21443248710368,223,0,False,False
mean_1st_delta_delta,Delta / Delta-delta,0.0014321841,0.0020565602,201.0,0.0004426562222116955,252,0,False,False
tqwt_TKEO_mean_dec_3,TQWT,0.0014284722,0.0031941608,202.0,5.1879844877317165e-05,247,0,False,False
std_1st_delta,Delta / Delta-delta,0.00141928,0.0031736067,203.0,0.034655887351023706,252,0,False,False
tqwt_skewnessValue_dec_14,TQWT,0.0014036527,0.002216997,204.0,0.014718922398993445,252,0,False,False
tqwt_TKEO_std_dec_13,TQWT,0.0014007515,0.0031321757,205.0,0.013966863816000688,252,0,False,False
tqwt_entropy_log_dec_26,TQWT,0.0013968446,0.0031234396,206.0,4478.311167618668,252,0,False,False
tqwt_maxValue_dec_31,TQWT,0.0013813382,0.0022056794,207.0,0.1340936665452359,252,0,False,False
tqwt_stdValue_dec_25,TQWT,0.0013611523,0.003043629,208.0,0.2806622414607202,252,0,False,False
tqwt_meanValue_dec_12,TQWT,0.0013501699,0.0013389327,209.0,6.783991962166135e-20,252,0,False,True
det_LT_entropy_shannon_7_coef,Wavelet,0.0013433706,0.003003868,210.0,7.0052898302940445,252,0,False,False
tqwt_TKEO_mean_dec_35,TQWT,0.0013403452,0.002997103,211.0,0.014486362773584768,251,0,False,False
tqwt_kurtosisValue_dec_4,TQWT,0.0013171944,0.0029453363,212.0,1154.9304348391593,252,0,False,False
app_entropy_shannon_3_coef,Wavelet,0.0013094076,0.0029279243,213.0,79414250.991226,252,0,False,False
tqwt_medianValue_dec_34,TQWT,0.0013057191,0.002919677,214.0,0.0012253388168876138,252,0,False,False
tqwt_stdValue_dec_36,TQWT,0.0013049617,0.002917983,215.0,0.08343143958614506,252,0,False,False
tqwt_kurtosisValue_dec_27,TQWT,0.0013040362,0.0029159137,216.0,37.08850984852903,251,0,False,False
det_entropy_shannon_10_coef,Wavelet,0.0012708631,0.0022212074,217.0,5493969.426839324,252,0,False,False
tqwt_meanValue_dec_34,TQWT,0.0012535473,0.002803017,218.0,4.071259557301223e-19,247,0,False,True
app_LT_TKEO_std_4_coef,Wavelet,0.0012465708,0.002787417,219.0,11.926963192750385,252,0,False,False
tqwt_TKEO_mean_dec_17,TQWT,0.0012423287,0.0027779313,220.0,0.14550459877359254,252,0,False,False
tqwt_entropy_shannon_dec_33,TQWT,0.0012349475,0.0027614266,221.0,18.265499094830542,252,0,False,False
ddpJitter,Jitter,0.0012256682,0.0027406777,222.0,0.0026516360851890825,212,0,False,False
tqwt_kurtosisValue_dec_6,TQWT,0.0012198442,0.0016703878,223.0,734.1205434302385,252,0,False,False
IMF_SNR_entropy,Wavelet,0.0012037142,0.0026915867,224.0,10.109117100601338,252,0,False,False
tqwt_TKEO_std_dec_16,TQWT,0.0011997133,0.0026826407,225.0,0.056143849265607025,252,0,False,False
tqwt_meanValue_dec_7,TQWT,0.0011890408,0.0026587762,226.0,1.873717242756284e-20,252,0,False,True
tqwt_TKEO_mean_dec_33,TQWT,0.0011791292,0.0026366133,227.0,0.08092436975875965,251,0,False,False
mean_10th_delta,Delta / Delta-delta,0.0011546991,0.0025819857,228.0,0.0016521593786676463,252,0,False,False
tqwt_entropy_log_dec_9,TQWT,0.0011394136,0.0025478064,229.0,61088.5487438424,252,0,False,False
tqwt_medianValue_dec_7,TQWT,0.0011269066,0.0025198397,230.0,1.3091522495184385e-05,252,0,False,False
std_11th_delta,Delta / Delta-delta,0.0011115272,0.0018306392,231.0,0.00861699706466596,250,0,False,False
tqwt_TKEO_mean_dec_32,TQWT,0.0011108927,0.0022521266,232.0,0.07798499906459037,252,0,False,False
VFER_NSR_SEO,Other,0.0011030132,0.0015992725,233.0,0.07925876800694658,245,0,False,False
tqwt_entropy_log_dec_6,TQWT,0.0010907957,0.0015429595,234.0,139150.74732308698,252,0,False,False
tqwt_entropy_log_dec_31,TQWT,0.0010850948,0.0024263456,235.0,1167.0839064349236,252,0,False,False
tqwt_energy_dec_30,TQWT,0.0010815836,0.0024184943,236.0,0.004745357458337687,251,0,False,False
tqwt_energy_dec_15,TQWT,0.0010790231,0.002412769,237.0,0.04869269130014433,252,0,False,False
app_LT_entropy_log_5_coef,Wavelet,0.0010781463,0.0024108083,238.0,2.6702415358790104,252,0,False,False
tqwt_TKEO_mean_dec_27,TQWT,0.0010709611,0.0023947419,239.0,0.878890019549485,252,0,False,False
tqwt_kurtosisValue_dec_2,TQWT,0.0010650958,0.0016082319,240.0,1343.7286416321817,252,0,False,False
std_delta_delta_0th,Delta / Delta-delta,0.0010514583,0.0023511325,241.0,0.019981523102260687,252,0,False,False
tqwt_skewnessValue_dec_15,TQWT,0.0010398378,0.0015379933,242.0,0.019024547247342816,252,0,False,False
tqwt_medianValue_dec_2,TQWT,0.0010257533,0.0014056243,243.0,2.235990351654676e-06,252,0,False,False
tqwt_entropy_shannon_dec_23,TQWT,0.0010228727,0.0022385258,244.0,151.16310041727976,252,0,False,False
apq11Shimmer,Shimmer,0.001014473,0.0022684305,245.0,0.028503556830923312,250,0,False,False
meanNoiseToHarmHarmonicity,HNR / Harmonicity,0.0010094118,0.0022571133,246.0,0.09628323015426693,252,0,False,False
tqwt_kurtosisValue_dec_24,TQWT,0.0010091646,0.001398612,247.0,3.7114696253660697,249,0,False,False
