feature,category,tree_importance_mean,tree_importance_std,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant
tqwt_skewnessValue_dec_12,TQWT,0.0008721517313559926,0.00011649685934837262,0.02358430477211904,252,0,False,False
GNE_SNR_SEO,Nonlinear,0.0008693259034111983,0.00016548026084835552,267230.0420958209,252,0,False,False
det_entropy_log_6_coef,Wavelet,0.0008654933805445339,0.0002415874587004944,28.765991019213732,252,0,False,False
det_LT_entropy_log_2_coef,Wavelet,0.0008629884269357948,0.00026992188111826413,101.98789669191721,252,0,False,False
app_TKEO_std_2_coef,Other,0.000860952533295966,0.0003532856948838308,17390.318268289604,252,0,False,False
det_LT_entropy_shannon_6_coef,Wavelet,0.0008594796787270671,0.0004404908969931399,4.678852499712952,252,0,False,False
mean_MFCC_11th_coef,MFCC,0.0008589097091294629,0.00020413909139227007,0.5552819057195407,252,0,False,False
tqwt_TKEO_mean_dec_20,TQWT,0.0008581694417418038,0.0001189447932618202,0.09346824965575641,252,0,False,False
tqwt_minValue_dec_27,TQWT,0.0008572586865730538,0.00017272568285345405,0.5534709453582196,252,0,False,False
tqwt_skewnessValue_dec_32,TQWT,0.0008553208311329674,0.00018474780900006084,0.7317526603651772,252,0,False,False
tqwt_stdValue_dec_28,TQWT,0.0008543400494004236,0.00012732424153280534,0.21300671285581807,252,0,False,False
tqwt_TKEO_mean_dec_4,TQWT,0.0008532977860205937,0.00029704159628805155,0.00012851691735223445,251,0,False,False
tqwt_kurtosisValue_dec_22,TQWT,0.0008530091688397715,0.00024452774390587676,0.6369587862876196,252,0,False,False
tqwt_medianValue_dec_2,TQWT,0.0008528596898183955,0.00023778459744951678,2.235990351654676e-06,252,0,False,False
tqwt_skewnessValue_dec_18,TQWT,0.0008444738210736855,0.00033892755393268107,0.00551526587646374,252,0,False,False
det_LT_entropy_log_4_coef,Wavelet,0.0008360662706534356,0.00019078166189135802,40.65795745562928,252,0,False,False
tqwt_entropy_log_dec_21,TQWT,0.0008275885560102266,0.0001731672991789541,5524.83422738555,252,0,False,False
tqwt_energy_dec_3,TQWT,0.0008246667961388874,0.00017889491875234268,0.003363431282192897,252,0,False,False
tqwt_entropy_shannon_dec_24,TQWT,0.0008224822184959783,0.00012681197373519944,294.4447410054517,252,0,False,False
tqwt_minValue_dec_29,TQWT,0.0008223795230045397,0.0002625483868228331,0.283886212933,252,0,False,False
tqwt_TKEO_mean_dec_29,TQWT,0.0008213688838793829,0.00011749121154080564,0.49793214129984426,252,0,False,False
app_TKEO_std_1_coef,Other,0.0008186838096055154,0.00022555368595948024,8095.221597805525,252,0,False,False
Ed2_4_coef,Wavelet,0.0008156400030480467,0.00023176598403656614,0.0005802483575880375,251,0,False,False
mean_11th_delta,Delta / Delta-delta,0.0008129624911540505,0.00013783117632567757,0.0016053177613171168,252,0,False,False
tqwt_TKEO_std_dec_28,TQWT,0.0008119073504285977,0.00025752349078037793,0.18998638704886708,252,0,False,False
tqwt_TKEO_std_dec_25,TQWT,0.0008113655219813786,0.0001976861234393715,0.21517152950789153,251,0,False,False
mean_11th_delta_delta,Delta / Delta-delta,0.0008109351469443242,0.0001781127001274925,0.00019327318731351015,252,0,False,False
tqwt_stdValue_dec_2,TQWT,0.0008096657702251396,0.00011442706626426169,0.001814873805511169,252,0,False,False
tqwt_energy_dec_36,TQWT,0.0008091260238806705,0.0001462755668707431,0.006994154165165415,250,0,False,False
mean_12th_delta,Delta / Delta-delta,0.0008055840677842954,0.0003899678454953241,0.0014398095231282924,252,0,False,False
det_entropy_log_8_coef,Wavelet,0.0008037950645767061,0.0003813643883244194,28.30385753607218,252,0,False,False
tqwt_maxValue_dec_30,TQWT,0.0008019717048753181,0.0002965919587487525,0.1744959569834778,252,0,False,False
tqwt_stdValue_dec_22,TQWT,0.0007977524306906399,0.00020907502450088008,0.11065387264867274,252,0,False,False
tqwt_skewnessValue_dec_19,TQWT,0.0007976723242545588,0.0002721774982647277,0.017414387248792428,252,0,False,False
det_LT_entropy_log_3_coef,Wavelet,0.0007844051113715432,0.00011694622705162868,59.967573934539,252,0,False,False
tqwt_energy_dec_29,TQWT,0.0007843732098150749,0.000285653720888437,0.028067276410913056,252,0,False,False
std_MFCC_0th_coef,MFCC,0.000784353274595326,0.00023012367550006134,0.568027926298161,252,0,False,False
mean_MFCC_9th_coef,MFCC,0.000782731498193577,0.00037405289457740037,0.783072214889216,252,0,False,False
tqwt_skewnessValue_dec_29,TQWT,0.0007774559632508647,0.0002553516267539506,0.9758279927786497,252,0,False,False
GQ_prc5_95,Other,0.0007742698432763563,0.0003348494861764385,0.10066992574016731,159,0,False,False
tqwt_skewnessValue_dec_31,TQWT,0.0007725647784398617,0.00018696274422073933,0.7303213715053664,252,0,False,False
det_LT_entropy_log_8_coef,Wavelet,0.0007712438163125772,0.00030379979407323614,28.734486982956838,252,0,False,False
tqwt_minValue_dec_36,TQWT,0.0007693444405631794,0.00014548822288005747,0.31946844072994324,252,0,False,False
tqwt_maxValue_dec_20,TQWT,0.0007644599285321681,0.0001977663184914607,0.25725412502853673,252,0,False,False
tqwt_energy_dec_24,TQWT,0.0007642032688200076,0.0002497752323413576,0.08640103879984296,252,0,False,False
