dataset,dataset_display_name,feature_set,model,fold,summary,n_records,n_subjects,accuracy,balanced_accuracy,roc_auc,sensitivity,specificity,precision,recall,f1
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,,mean,,,0.7852057103543172,0.7047172624955579,0.7899785368113268,0.8684088839654744,0.5410256410256411,0.8476615780335919,0.8684088839654744,0.8575394140746628
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,,std,,,0.0330205834175786,0.042022555700686526,0.03937000479241497,0.03769002144141372,0.07713645618713501,0.021882180384770127,0.03769002144141372,0.023515882266781273
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,,mean,,,0.8195844513243895,0.690576661897109,0.8403401619167804,0.9533755460164404,0.42777777777777776,0.8298251523324968,0.9533755460164404,0.8872519649502916
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,,std,,,0.061016811011445286,0.0772056390728487,0.05226636773293943,0.041140546659128856,0.11924149080244484,0.037705946209210674,0.041140546659128856,0.03853131164948675
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,,mean,,,0.8196112831097352,0.7271439258397805,0.8105484779681333,0.9141169115086208,0.5401709401709401,0.8538930758216956,0.9141169115086208,0.8824435343822788
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,,std,,,0.05434159259792109,0.0599353377854064,0.06506302442604862,0.05925779701584396,0.1004773470747733,0.02897439834421837,0.05925779701584396,0.03810278423787786
dataset2,Dataset 2,acoustic_only,Logistic Regression,,mean,,,0.7541666666666667,0.7541666666666667,0.8489583333333334,0.7333333333333334,0.7749999999999999,0.7636021872863978,0.7333333333333334,0.7451155012833475
dataset2,Dataset 2,acoustic_only,Logistic Regression,,std,,,0.0518745816582864,0.05187458165828636,0.06263247919287303,0.12004050242406608,0.022821773229381902,0.019726889987754712,0.12004050242406608,0.06915807857783964
dataset2,Dataset 2,acoustic_only,Random Forest,,mean,,,0.7791666666666666,0.7791666666666667,0.8314236111111111,0.7416666666666667,0.8166666666666667,0.805038961038961,0.7416666666666667,0.7712866015971607
dataset2,Dataset 2,acoustic_only,Random Forest,,std,,,0.047961935138422236,0.04796193513842221,0.057738420172066075,0.03486083443891978,0.07569125885243727,0.0678475942106952,0.03486083443891978,0.045002144700957876
dataset2,Dataset 2,acoustic_only,SVM-RBF,,mean,,,0.8041666666666666,0.8041666666666666,0.8527777777777776,0.7916666666666667,0.8166666666666667,0.8119565217391305,0.7916666666666667,0.801595744680851
