dataset,dataset_display_name,feature_set,model,fold,summary,n_records,n_subjects,accuracy,balanced_accuracy,roc_auc,sensitivity,specificity,precision,recall,f1
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,2,fold,150,50,0.72,0.6361746361746362,0.817047817047817,0.8108108108108109,0.46153846153846156,0.8108108108108109,0.8108108108108109,0.8108108108108109
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,2,fold,150,50,0.76,0.6632016632016633,0.8357588357588358,0.8648648648648649,0.46153846153846156,0.8205128205128205,0.8648648648648649,0.8421052631578947
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,2,fold,150,50,0.78,0.6517671517671518,0.8305613305613306,0.918918918918919,0.38461538461538464,0.8095238095238095,0.918918918918919,0.8607594936708861
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),2,fold,150,50,0.8,0.6652806652806653,0.8212058212058212,0.9459459459459459,0.38461538461538464,0.813953488372093,0.9459459459459459,0.875
dataset1,Dataset 1,acoustic_only,Logistic Regression,3,fold,150,50,0.8,0.6973684210526316,0.7587719298245614,0.8947368421052632,0.5,0.85,0.8947368421052632,0.8717948717948718
dataset1,Dataset 1,acoustic_only,SVM-RBF,3,fold,150,50,0.86,0.7083333333333334,0.7850877192982456,1.0,0.4166666666666667,0.8444444444444444,1.0,0.9156626506024096
dataset1,Dataset 1,acoustic_only,Random Forest,3,fold,150,50,0.88,0.75,0.875,1.0,0.5,0.8636363636363636,1.0,0.926829268292683
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),3,fold,150,50,0.86,0.7083333333333334,0.8837719298245614,1.0,0.4166666666666667,0.8444444444444444,1.0,0.9156626506024096
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,3,fold,150,50,0.84,0.7521929824561404,0.763157894736842,0.9210526315789473,0.5833333333333334,0.875,0.9210526315789473,0.8974358974358975
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,3,fold,150,50,0.86,0.7083333333333334,0.7828947368421053,1.0,0.4166666666666667,0.8444444444444444,1.0,0.9156626506024096
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,3,fold,150,50,0.88,0.75,0.8662280701754386,1.0,0.5,0.8636363636363636,1.0,0.926829268292683
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),3,fold,150,50,0.88,0.75,0.888157894736842,1.0,0.5,0.8636363636363636,1.0,0.926829268292683
dataset1,Dataset 1,acoustic_only,Logistic Regression,4,fold,152,51,0.8431372549019608,0.7682186234817814,0.8744939271255061,0.9210526315789473,0.6153846153846154,0.875,0.9210526315789473,0.8974358974358975
dataset1,Dataset 1,acoustic_only,SVM-RBF,4,fold,152,51,0.803921568627451,0.6912955465587045,0.7672064777327935,0.9210526315789473,0.46153846153846156,0.8333333333333334,0.9210526315789473,0.875
dataset1,Dataset 1,acoustic_only,Random Forest,4,fold,152,51,0.8431372549019608,0.7176113360323887,0.8279352226720648,0.9736842105263158,0.46153846153846156,0.8409090909090909,0.9736842105263158,0.9024390243902439
dataset1,Dataset 1,acoustic_only,XGBoost (supplemental),4,fold,152,51,0.8431372549019608,0.7176113360323887,0.894736842105263,0.9736842105263158,0.46153846153846156,0.8409090909090909,0.9736842105263158,0.9024390243902439
dataset1,Dataset 1,acoustic_plus_sex,Logistic Regression,4,fold,152,51,0.8431372549019608,0.7682186234817814,0.8724696356275303,0.9210526315789473,0.6153846153846154,0.875,0.9210526315789473,0.8974358974358975
dataset1,Dataset 1,acoustic_plus_sex,SVM-RBF,4,fold,152,51,0.803921568627451,0.6912955465587045,0.7672064777327935,0.9210526315789473,0.46153846153846156,0.8333333333333334,0.9210526315789473,0.875
dataset1,Dataset 1,acoustic_plus_sex,Random Forest,4,fold,152,51,0.8235294117647058,0.7044534412955465,0.8259109311740891,0.9473684210526315,0.46153846153846156,0.8372093023255814,0.9473684210526315,0.8888888888888888
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),4,fold,152,51,0.8431372549019608,0.7176113360323887,0.8967611336032388,0.9736842105263158,0.46153846153846156,0.8409090909090909,0.9736842105263158,0.9024390243902439
dataset1,Dataset 1,acoustic_only,Logistic Regression,5,fold,150,50,0.76,0.6632016632016633,0.8232848232848233,0.8648648648648649,0.46153846153846156,0.8205128205128205,0.8648648648648649,0.8421052631578947
