candidate_id,feature_set,representation,method,k,n_features_original,n_components_after_transform,cluster_sizes,min_cluster_size,min_cluster_ratio,smaller_cluster_ratio,silhouette,calinski_harabasz,davies_bouldin,stability_ari_mean,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,stability_ari_norm,balance_norm,top1_count,top1_frequency,top3_count,top3_frequency
pd_corr_reduced_all_095|pca_20|AgglomerativeClustering|k2,pd_corr_reduced_all_095,pca_20,AgglomerativeClustering,2,425,20,0:92;1:96,92,0.48936170212765956,0.48936170212765956,0.13977655735132513,25.30735327355239,2.377419768240561,0.6092321378061194,0.19498046024083407,0.14593766880716008,0.44116903226408133,0.5918756489037434,0.9787234042553191,0,0.0,0,0.0
pd_high_mad_top100|pca_90|AgglomerativeClustering|k2,pd_high_mad_top100,pca_90,AgglomerativeClustering,2,100,9,0:154;1:34,34,0.18085106382978725,0.18085106382978725,0.329110750212439,64.69489742624347,1.1735316733058514,0.6001629272588322,0.6876877345989474,0.5275892683683253,0.8968770042096214,0.5821473804030509,0.3617021276595745,0,0.0,0,0.0
all_acoustic|pca_90|GaussianMixture|k2,all_acoustic,pca_90,GaussianMixture,2,752,63,0:93;1:95,93,0.4946808510638298,0.4946808510638298,0.12341590661644465,24.080125230528697,2.513741882533418,0.5850996362287331,0.1524048878706538,0.13404625603385797,0.3895669984063622,0.5659894426331851,0.9893617021276596,0,0.0,0,0.0
pd_corr_reduced_all_095|pca_20|GaussianMixture|k2,pd_corr_reduced_all_095,pca_20,GaussianMixture,2,425,20,0:83;1:105,83,0.44148936170212766,0.44148936170212766,0.14160047811085183,28.701022065589278,2.229019706900991,0.5615328207346533,0.1997268772112267,0.17882113871431327,0.4973429335379508,0.5407100307552387,0.8829787234042553,0,0.0,0,0.0
pd_corr_reduced_top50_090|scaled_only|AgglomerativeClustering|k2,pd_corr_reduced_top50_090,scaled_only,AgglomerativeClustering,2,31,31,0:135;1:53,53,0.28191489361702127,0.28191489361702127,0.2042241248612209,39.74513488678292,1.824062274495509,0.5470080117671112,0.3626933537597784,0.28583474960618566,0.6506315415258748,0.5251297064457782,0.5638297872340425,0,0.0,0,0.0
pd_corr_reduced_top50_090|pca_10|AgglomerativeClustering|k2,pd_corr_reduced_top50_090,pca_10,AgglomerativeClustering,2,31,10,0:132;1:56,56,0.2978723404255319,0.2978723404255319,0.20454378041920135,44.981840849513254,1.6312996525605077,0.541832768642431,0.3635251983216399,0.3365766084882651,0.7235980106507882,0.5195783793031624,0.5957446808510638,0,0.0,0,0.0
pd_corr_reduced_all_095|pca_90|GaussianMixture|k2,pd_corr_reduced_all_095,pca_90,GaussianMixture,2,425,78,0:98;1:90,90,0.4787234042553192,0.4787234042553192,0.10026965081682454,19.3554594874782,2.886240655260711,0.5408243324500781,0.0921710313532938,0.08826588873711032,0.2485649725652782,0.5184966602280705,0.9574468085106383,0,0.0,0,0.0
pd_high_mad_top50|pca_5|GaussianMixture|k2,pd_high_mad_top50,pca_5,GaussianMixture,2,50,5,0:40;1:148,40,0.2127659574468085,0.2127659574468085,0.27027528492870856,12.678875032967962,3.3041728760382827,0.5314307833022744,0.5345793007895147,0.023572108216271582,0.09036501565684829,0.5084204834971621,0.425531914893617,0,0.0,0,0.0
pd_corr_reduced_top50_090|pca_10|GaussianMixture|k2,pd_corr_reduced_top50_090,pca_10,GaussianMixture,2,31,10,0:83;1:105,83,0.44148936170212766,0.44148936170212766,0.19823090098492668,48.04545206759442,1.7840647637907872,0.5162497441674996,0.34709709533395344,0.3662619353337653,0.6657718062754048,0.4921362408883292,0.8829787234042553,0,0.0,0,0.0
top20_biomarkers|pca_10|GaussianMixture|k2,top20_biomarkers,pca_10,GaussianMixture,2,20,10,0:136;1:52,52,0.2765957446808511,0.2765957446808511,0.17916542296758617,38.45211363921455,1.8397895030125135,0.5144029004694832,0.297482709436161,0.2733058235708892,0.6446783109540608,0.4901551873799299,0.5531914893617021,0,0.0,0,0.0
pd_corr_reduced_all_090|pca_20|AgglomerativeClustering|k2,pd_corr_reduced_all_090,pca_20,AgglomerativeClustering,2,310,20,0:87;1:101,87,0.4627659574468085,0.4627659574468085,0.10717775446775467,20.064926883252312,2.7160536505858293,0.5141870759606529,0.11014809545037361,0.09514038097211767,0.312985889325056,0.4899236789415732,0.925531914893617,0,0.0,0,0.0
pd_corr_reduced_all_095|pca_10|GaussianMixture|k2,pd_corr_reduced_all_095,pca_10,GaussianMixture,2,425,10,0:19;1:169,19,0.10106382978723404,0.10106382978723404,0.34793086436969844,22.357651353485714,1.9345057881040366,0.5014574302389808,0.7366636063599129,0.11735608342935805,0.608825338928771,0.47626897207889474,0.20212765957446807,0,0.0,0,0.0
pd_sparse_pca_20|sparse_pca_20|AgglomerativeClustering|k2,pd_sparse_pca_20,sparse_pca_20,AgglomerativeClustering,2,752,20,0:99;1:89,89,0.4734042553191489,0.4734042553191489,0.1320528477403289,22.697020368600953,2.4924408008938643,0.48809657687128044,0.1748809322429565,0.12064445111631318,0.3976301005792712,0.46193718782031334,0.9468085106382979,0,0.0,0,0.0
