dataset,dataset_display_name,feature_set,model,level,fold,summary,tn,fp,fn,tp
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),record,,aggregate,84,108,21,542
dataset1,Dataset 1,acoustic_plus_sex,XGBoost (supplemental),subject,,aggregate,29,35,7,181
dataset2,Dataset 2,acoustic_only,Logistic Regression,record,,aggregate,93,27,32,88
dataset2,Dataset 2,acoustic_only,Logistic Regression,subject,,aggregate,30,10,7,33
dataset2,Dataset 2,acoustic_only,Random Forest,record,,aggregate,98,22,31,89
dataset2,Dataset 2,acoustic_only,Random Forest,subject,,aggregate,34,6,11,29
dataset2,Dataset 2,acoustic_only,SVM-RBF,record,,aggregate,98,22,25,95
dataset2,Dataset 2,acoustic_only,SVM-RBF,subject,,aggregate,35,5,8,32
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),record,,aggregate,98,22,30,90
dataset2,Dataset 2,acoustic_only,XGBoost (supplemental),subject,,aggregate,34,6,11,29
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,record,,aggregate,95,25,34,86
dataset2,Dataset 2,acoustic_plus_sex,Logistic Regression,subject,,aggregate,32,8,10,30
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,record,,aggregate,98,22,31,89
dataset2,Dataset 2,acoustic_plus_sex,Random Forest,subject,,aggregate,34,6,12,28
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,record,,aggregate,101,19,26,94
dataset2,Dataset 2,acoustic_plus_sex,SVM-RBF,subject,,aggregate,35,5,8,32
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),record,,aggregate,97,23,31,89
dataset2,Dataset 2,acoustic_plus_sex,XGBoost (supplemental),subject,,aggregate,35,5,12,28
