feature,category,selected_folds,selection_frequency,mean_abs_l1_coefficient,subject_level_std,subject_level_unique_count,subject_level_missing_count,is_constant,is_near_constant,l1_selected_any,l1_selected_near_constant
f3,Formant / Bandwidth,0,0.0,0.0,355.29676959190823,252,0,False,False,False,False
f4,Formant / Bandwidth,0,0.0,0.0,315.30769466479046,252,0,False,False,False,False
b3,Formant / Bandwidth,0,0.0,0.0,501.5005290256684,252,0,False,False,False,False
GQ_std_cycle_open,Other,0,0.0,0.0,26.508550268314643,252,0,False,False,False,False
GQ_std_cycle_closed,Other,0,0.0,0.0,5.317963214236612,161,0,False,False,False,False
GNE_mean,Nonlinear,0,0.0,0.0,0.3208760296117019,252,0,False,False,False,False
GNE_std,Nonlinear,0,0.0,0.0,0.11133228880725785,252,0,False,False,False,False
GNE_SNR_TKEO,Nonlinear,0,0.0,0.0,0.053902961034314835,252,0,False,False,False,False
GNE_SNR_SEO,Nonlinear,0,0.0,0.0,267230.0420958209,252,0,False,False,False,False
VFER_mean,Other,0,0.0,0.0,0.002290384179564767,252,0,False,False,False,False
VFER_std,Other,0,0.0,0.0,0.001668399986654827,252,0,False,False,False,False
VFER_entropy,Wavelet,0,0.0,0.0,5.5602092755846835,252,0,False,False,False,False
VFER_SNR_TKEO,Other,0,0.0,0.0,114.67886308413287,252,0,False,False,False,False
VFER_NSR_TKEO,Other,0,0.0,0.0,0.06722702716110025,249,0,False,False,False,False
VFER_NSR_SEO,Other,0,0.0,0.0,0.07925876800694658,245,0,False,False,False,False
IMF_SNR_TKEO,Other,0,0.0,0.0,2.0112712406686577,252,0,False,False,False,False
IMF_SNR_entropy,Wavelet,0,0.0,0.0,10.109117100601338,252,0,False,False,False,False
IMF_NSR_SEO,Other,0,0.0,0.0,0.05640868112074922,252,0,False,False,False,False
mean_Log_energy,Other,0,0.0,0.0,0.4949551877784423,252,0,False,False,False,False
mean_MFCC_0th_coef,MFCC,0,0.0,0.0,2.127666396592989,252,0,False,False,False,False
mean_MFCC_4th_coef,MFCC,0,0.0,0.0,1.2302859377972768,252,0,False,False,False,False
mean_MFCC_5th_coef,MFCC,0,0.0,0.0,0.9970573844583144,252,0,False,False,False,False
mean_MFCC_9th_coef,MFCC,0,0.0,0.0,0.783072214889216,252,0,False,False,False,False
mean_MFCC_10th_coef,MFCC,0,0.0,0.0,0.6987181778875112,252,0,False,False,False,False
mean_MFCC_11th_coef,MFCC,0,0.0,0.0,0.5552819057195407,252,0,False,False,False,False
mean_MFCC_12th_coef,MFCC,0,0.0,0.0,0.5793492607840585,252,0,False,False,False,False
mean_0th_delta,Delta / Delta-delta,0,0.0,0.0,0.00970620960168668,252,0,False,False,False,False
mean_1st_delta,Delta / Delta-delta,0,0.0,0.0,0.003398704052221194,252,0,False,False,False,False
mean_3rd_delta,Delta / Delta-delta,0,0.0,0.0,0.0028106787041074213,251,0,False,False,False,False
mean_6th_delta,Delta / Delta-delta,0,0.0,0.0,0.002419019153569761,252,0,False,False,False,False
mean_8th_delta,Delta / Delta-delta,0,0.0,0.0,0.0019122014040383823,252,0,False,False,False,False
mean_9th_delta,Delta / Delta-delta,0,0.0,0.0,0.001877781134981663,252,0,False,False,False,False
mean_10th_delta,Delta / Delta-delta,0,0.0,0.0,0.0016521593786676463,252,0,False,False,False,False
mean_11th_delta,Delta / Delta-delta,0,0.0,0.0,0.0016053177613171168,252,0,False,False,False,False
mean_12th_delta,Delta / Delta-delta,0,0.0,0.0,0.0014398095231282924,252,0,False,False,False,False
mean_delta_delta_log_energy,Delta / Delta-delta,0,0.0,0.0,0.00029097370415902447,252,0,False,False,False,False
mean_1st_delta_delta,Delta / Delta-delta,0,0.0,0.0,0.0004426562222116955,252,0,False,False,False,False
mean_2nd_delta_delta,Delta / Delta-delta,0,0.0,0.0,0.00034178198723201607,252,0,False,False,False,False
mean_4th_delta_delta,Delta / Delta-delta,0,0.0,0.0,0.00027960851615760113,251,0,False,False,False,False
mean_5th_delta_delta,Delta / Delta-delta,0,0.0,0.0,0.0002525407703179635,252,0,False,False,False,False
mean_6th_delta_delta,Delta / Delta-delta,0,0.0,0.0,0.00028144697559633514,252,0,False,False,False,False
mean_9th_delta_delta,Delta / Delta-delta,0,0.0,0.0,0.00019175770980680876,252,0,False,False,False,False
std_Log_energy,Other,0,0.0,0.0,0.2700060997565047,252,0,False,False,False,False
std_MFCC_0th_coef,MFCC,0,0.0,0.0,0.568027926298161,252,0,False,False,False,False
